Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
4.493575034769335501e-03,-3.569992606719703254e-03,-2.354970057339661194e-01,-2.316581862390908464e-01,-1.936935559017085029e-01,2.008741290450225814e-01,2.255088623049143481e-01,2.140678795271262203e-01,2.244504749032983915e-01,1.868273822530371660e-03
-5.340319422266504371e-03,1.587112606822057344e-03,-2.550111382604240418e-01,-2.456172424223036777e-01,2.216240284606491584e-01,-2.171379861858645510e-01,-2.658028170399107104e-01,-2.122943198181677649e-01,-2.433107786619510549e-01,4.277465426013613101e-04
-5.180362797284111115e-03,5.402926485699839458e-03,-2.336041918296249686e-01,-2.563640419506482138e-01,2.194619745474485628e-01,-2.227547188522573385e-01,-2.628757688146616811e-01,-2.319513351650715205e-01,-2.303723837659152063e-01,-9.039465279829199743e-03
-4.143405333163003440e-03,1.935925023850930404e-02,-2.570160517978510861e-01,-2.490406691310597664e-01,2.175745437816765937e-01,-2.020645154262531440e-01,-2.367908778633698585e-01,-2.296923030194548965e-01,2.595846345676188216e-01,8.826514901053524910e-04
8.655749129807257733e-03,2.010509131358520149e-02,-2.259874361124949160e-01,-2.401423730787965727e-01,2.109996050991151950e-01,-2.086582934962237235e-01,-2.355633004297270350e-01,-2.071017166204553173e-01,2.640536894934579215e-01,-3.776794183771478922e-03
-3.781389382926032589e-04,7.832805408179347936e-03,-2.521331294888366492e-01,-2.286765920287375520e-01,2.114003030306242925e-01,-2.046808142705599798e-01,-2.316549925319575931e-01,2.181775877233212146e-01,-2.427888732745389910e-01,3.014314639078960033e-03
1.327769291526570590e-03,5.310438972256129563e-05,-2.295664347081128043e-01,-2.369233773927732767e-01,2.110308347619368752e-01,-1.978570203474892819e-01,-2.538498577693117930e-01,2.055303297272061125e-01,-2.454158077766860346e-01,2.315420123374754152e-04
-2.132395559482825123e-03,1.831312431491774690e-03,-2.473367488860491459e-01,-2.371921017895396167e-01,2.181576152097812471e-01,-2.080529363333571968e-01,-2.258580237437383953e-01,2.111863020511306199e-01,2.419641503114322856e-01,-1.681190711376397183e-03
6.590317717596142280e-03,3.143106870322598498e-04,-2.311030007382048057e-01,-2.379024453707073716e-01,2.108304711728245517e-01,-2.066999114288572692e-01,-2.300629362583516690e-01,1.910692483294378075e-01,2.533928918892774385e-01,1.576780095258403097e-02
3.939903141991619659e-03,9.366629084982258657e-03,-2.508600000445050382e-01,-2.501703270355190023e-01,2.081908539834865790e-01,-2.075015159680082821e-01,2.544831224507720369e-01,-2.142795867929791209e-01,-2.323653499076741569e-01,6.249472807421213930e-03
-7.068542102278083279e-03,-3.084707721318771540e-03,-2.474007499411544631e-01,-2.472921240626037853e-01,2.138159290173976823e-01,-2.128235155548847957e-01,2.396477998606567350e-01,-1.943993533329504420e-01,-2.487852572774905957e-01,-8.690772877042564695e-03
-1.214752927137124168e-03,-5.992660265683654244e-03,-2.373691343517294050e-01,-2.450658061840781110e-01,2.086838428121645383e-01,-2.033108497701696937e-01,2.541781217231808276e-01,-2.052926645236159975e-01,2.315587989584785289e-01,-6.266181278602598465e-03
1.979703170327453202e-02,-5.318382682834138162e-03,-2.322369823869822048e-01,-2.441662919006271637e-01,2.083576058428540656e-01,-2.049887728226190697e-01,2.369670383151970261e-01,-1.892472587665562644e-01,2.394468576815988181e-01,5.917796547700494673e-03
