Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
4.675429998868425863e-02,1.934295488460895107e-02,5.943357259434510140e-03,-7.654672880037839862e-03,3.213969374335694240e-02,7.011780924315668719e-03,4.639028051046117235e-02,-4.191444178636576784e-03,-2.202253407376455335e-02,-6.196930298227158046e-02
7.781951464379946448e-02,6.226033183652746397e-03,-5.011790143682769150e-03,-7.104305248121435719e-03,3.041925884936024643e-02,2.358009759572788494e-02,2.201872988293004929e-02,-1.913295344452217370e-02,5.689040163843380078e-03,9.495283624053586780e-02
8.435373130201492820e-02,5.613049912887407844e-02,8.746445015199574499e-03,1.060697158233580607e-02,2.800943677046199495e-02,3.615270457840209090e-02,3.456033764724386614e-02,-6.158209475819183959e-03,-2.302716437771129901e-04,-7.495375743085122555e-02
2.931762392844754553e-02,2.716845587211396545e-02,1.560452603515466484e-03,-9.577043130253291153e-03,2.161653015041321152e-02,-6.524735205808321163e-03,4.187309651809177635e-02,-1.846072027452709411e-03,2.514269596903698310e-03,6.901479215615542728e-02
5.782465676854454256e-02,4.500766024052477166e-02,-1.695201709662911768e-02,1.313998226788723120e-02,1.091463255618163077e-02,7.796017868763259820e-03,1.353751658830297695e-02,-1.779612913642969474e-02,-3.233722994070612616e-02,-6.316966663706370666e-02
3.706407566747628446e-02,1.543279751290185277e-02,8.524859222747732668e-03,-8.453844408868479293e-03,2.332176113101263118e-02,-1.382924683086226604e-02,-2.718101316164183226e-02,1.091773949214650658e-04,3.555750623096637971e-03,7.055346701255969799e-02
5.109621933308093611e-02,-2.061391375206078104e-03,-1.727502677575770695e-02,-5.276152693386276446e-03,-1.229804966077719698e-02,-1.698909418758808368e-02,-9.541376397832698059e-03,6.421958343855492871e-03,4.106116487111057672e-02,-6.769668449864499338e-02
5.244294801050407295e-02,8.249124884291881080e-03,-1.479822746973404133e-03,1.135171106242720490e-03,-3.080957298757097326e-02,6.002872331292254289e-03,-2.396269991588464640e-02,5.142128360657791109e-03,3.899429589954398531e-03,6.635069591271773592e-02
3.897295249988671356e-02,5.576421324452684146e-04,1.629146571890229683e-02,1.120863222256510833e-02,-4.304239111464863016e-02,-2.389514033897979176e-03,-4.261726720446523675e-02,2.933074034890194651e-02,-1.393039182310462816e-02,-6.268482147084106226e-02
3.666798534023554823e-02,3.147714409318051049e-02,8.871369565076706390e-03,-7.021255847890637593e-03,2.267338147257877412e-02,-3.393717879988608632e-02,-1.990922384395569372e-02,1.133830841364740979e-02,3.902008861092579051e-02,2.327721409222374693e-02
5.959325782441620561e-02,3.513478495672488905e-02,3.664971291595229240e-03,-5.293708841972636844e-03,-9.742828559103116487e-03,-2.756709620699774460e-02,-3.314022659955306784e-03,-5.711729302630528735e-03,1.398275163286650385e-02,-6.336378489634184041e-02
7.660647510129439675e-02,9.902225020461090030e-03,-3.022566751602151838e-02,-8.671485407428564454e-03,-4.323189597223401487e-02,-5.959763679521224745e-03,1.204974673597917177e-03,-1.836228935472776491e-02,-2.881329639292362285e-02,8.878692963171143371e-02
4.869780372468413693e-02,3.861232691418987895e-02,-5.374263739469242566e-03,8.507419947510480238e-03,2.696685951167785027e-05,-2.741762681654703535e-02,-1.672543047929393387e-02,-3.082545494358718274e-02,-2.410656903229280515e-02,-6.935607676511526543e-02
